Outlet_ID,total_poi_count_250m,bus_stop_count_250m,commercial_count_250m,food_count_250m,fuel_station_count_250m,hospital_count_250m,railway_station_count_250m,religious_count_250m,school_count_250m,tourism_count_250m,total_poi_count_500m,bus_stop_count_500m,commercial_count_500m,food_count_500m,fuel_station_count_500m,hospital_count_500m,railway_station_count_500m,religious_count_500m,school_count_500m,tourism_count_500m,total_poi_count_1000m,bus_stop_count_1000m,commercial_count_1000m,food_count_1000m,fuel_station_count_1000m,hospital_count_1000m,railway_station_count_1000m,religious_count_1000m,school_count_1000m,tourism_count_1000m,nearest_bus_stop_m,nearest_commercial_m,nearest_food_m,nearest_fuel_station_m,nearest_hospital_m,nearest_railway_station_m,nearest_religious_m,nearest_school_m,nearest_tourism_m,footfall_proxy_score,footfall_proxy_score_norm
OUT_00001,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,3,0,0,25,0,9,4,1,2,0,7,2,0,1406.5582593343468,417.12322321386307,565.5899189739916,583.01758654193,519.2945466757919,1534.1780924425784,295.4950079797623,806.6501841924782,1089.9225712174969,10.0,0.0437636761487965
OUT_00002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,2796.5007367620524,1409.23398819195,1448.248917762347,1430.071995591255,2378.894119865255,9275.385433699636,708.9165346156585,758.1423702726562,1272.2256090283697,0.0,0.0
OUT_00003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682.8140307911738,1931.4736029934868,2797.7609848823545,2593.444116268897,2706.5496332746084,8394.208373406234,2391.8494325447764,2319.218921004634,2696.206051432255,0.0,0.0
OUT_00004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10332.401980546181,10822.644192409305,10318.958683650528,10695.820469998063,10934.565488552058,20808.028895646454,10515.777951886092,10580.481240527473,10593.870028416786,0.0,0.0
OUT_00005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,1,0,1,3,1254.0625660937208,901.305793094801,1172.8379592699662,2121.025997679387,1086.6787945372441,967.7550744439422,1141.8021935585057,826.5742259405602,788.7942353727575,4.5,0.019693654266958426
OUT_00006,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1515.7952970665672,2106.553069986265,1756.3359823795445,1742.8719460965062,2117.4896272227643,9179.41085956911,330.0835995628089,1979.8703666352349,1972.564694162265,0.0,0.0
OUT_00007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3278.0941507957314,4473.614633194669,2665.0689558795125,5056.552452500534,4966.397424629255,6428.6603704844665,4439.783670537522,4904.111331156641,4264.807444621662,0.0,0.0
OUT_00008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3622.905541441432,3664.0505273906747,2955.2158816348774,3952.677967377005,3916.1216950881267,5318.93644156496,3569.15457849598,3660.536007324744,3496.534630918303,0.0,0.0
OUT_00009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3201.5549682241485,2506.128877360724,2571.7040702048957,3005.091051382707,2632.2400897650273,3864.3782021746156,957.1973349142864,1235.4006978031737,1500.408060718484,0.0,0.0
OUT_00010,4,1,0,1,0,0,0,0,0,2,42,11,1,18,2,2,0,2,3,3,244,25,15,122,4,17,0,9,26,26,178.41468898103653,319.17749168383193,221.60376777935932,307.39352678919096,429.3187460153472,2315.0676235220294,404.3790965529425,377.92072539185006,137.6763641534773,120.5,0.5273522975929978
OUT_00011,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,338.60969326585314,1987.771900209743,2000.606376181827,1878.7670413355868,1994.1635794701788,1868.1626544874935,1945.9049438770671,665.2434152959751,4048.1886569924186,3.0,0.01312910284463895
OUT_00012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6176.948207807363,6417.2131280763615,6480.685735342187,6899.237106861608,6788.440724400121,11525.2253018245,6715.558127967188,6900.555783722004,6522.604898797136,0.0,0.0
OUT_00013,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7,5,1,0,0,0,0,1,0,0,494.2499653874254,875.7506013952955,2846.7188321170083,3750.9768884020236,4498.220966843656,15317.66479605936,943.0043468013365,3352.7889250623684,2917.9610885800707,3.0,0.01312910284463895
OUT_00014,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,6,0,0,0,0,2,0,2,2,0,1249.937319804835,1751.1853014212245,1494.370586168524,1823.8341228711213,170.37499954109327,17685.750752587533,527.462091725788,858.5992417104374,2279.689925998702,3.0,0.01312910284463895
OUT_00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3162.9413951796364,4204.591318991117,2180.4735541117625,3903.827544802092,3059.9675909135663,5803.387974343513,1068.1789534507498,1982.5451088634356,4195.402193208499,0.0,0.0
OUT_00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2549.2584192506997,2363.485297138869,2343.2898207666094,2369.506569437549,2712.9965268392675,2593.161550159084,2375.4342472782682,2515.912355830577,2349.4910923792627,0.0,0.0
OUT_00017,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,1,0,1,23,1,0,0,0,9,0,9,2,2,968.5573686003909,1091.9607189803442,1275.7853542683442,2293.444847012631,428.6993447493941,13075.510890118278,394.93792283282806,824.5343096810855,235.63271689777068,4.5,0.019693654266958426
OUT_00018,2,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,2,0,0,6,0,0,3,0,0,0,3,0,0,2972.076856172463,2080.239882616391,463.962315424628,2161.778735343502,2542.2760104325093,6767.569565469432,146.23573701352018,1524.173576862596,1984.7667402310065,2.0,0.0087527352297593
OUT_00019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2888.172918145054,1193.054788835106,1240.7428752594806,2488.924708747063,1457.9608936810837,2790.951098015278,1372.6292979943153,1395.888649932143,1784.5144399789037,0.0,0.0
OUT_00020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1595.874603356694,3064.809958719727,2813.0060775185407,4370.347168559911,933.1305300197472,12606.679637443938,1144.6551279902824,2355.712278168745,656.6404945205317,1.5,0.006564551422319475
OUT_00021,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,7,0,2,1,1,0,0,3,0,0,2252.3218756203746,734.9053142968567,876.5656762565179,892.8699373713612,2422.939513365456,10700.454406065026,126.28677217497118,1672.569370368383,2167.564568409142,0.0,0.0
OUT_00022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4530.967399133957,1757.0396535065488,4463.543841497032,4428.971904216547,1056.9784696390213,4109.881966245299,2272.5920544528685,1536.7833957023797,2974.6688180800907,0.0,0.0
OUT_00023,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,4,1,0,2395.526589377067,1032.4609791686148,919.2273521760841,1385.0038563281794,1504.2118343758248,2390.242744790136,255.86915963786683,739.3097625079963,2476.071380367323,0.0,0.0
OUT_00024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2887.8497032139076,1274.930918940081,5938.190747671134,5901.096724717021,2681.197010345029,5182.872891768382,1708.3793589610325,1244.7000767839115,3750.7804577455017,0.0,0.0
OUT_00025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3005.27697919952,3374.58726970041,2338.355715378714,3380.9202999794425,3396.8361248204797,4469.087386348374,3026.3286595227964,3038.673482294073,3033.0849129314347,0.0,0.0
OUT_00026,9,2,0,3,1,0,0,1,2,0,30,8,6,6,1,0,0,3,6,0,102,18,12,28,4,5,0,16,18,1,219.98268800085884,286.89825288938425,100.36184523541696,164.32701704874384,600.8975174119445,1735.4166052137778,229.03034220886576,85.86184971164492,842.4177749352875,64.5,0.28227571115973743
OUT_00027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3430.950566083264,3878.2417980060686,3619.8475748991546,4040.072692691867,3922.982037724775,9409.716828804574,3852.318308620422,4040.062913670791,3655.8211541241385,0.0,0.0
OUT_00028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3333.894210799633,3366.1366846650353,2913.250186982275,3738.0056806482494,3514.068344743509,3801.2590476614337,3456.35002331596,3429.147667263822,3381.810613791817,0.0,0.0
OUT_00029,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,20,3,3,1,2,3,0,3,5,0,844.944708262981,651.5080595622903,725.7342973776929,887.0405329687298,687.0100639787369,4479.079008351668,484.550331292237,540.808223369787,1189.2374165064978,0.0,0.0
