Outlet_ID,Latitude,Longitude,original_latitude,original_longitude,coordinate_swap_fixed,rejection_reason
OUT_00090,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_01864,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_02389,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_02426,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_02795,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_02862,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_03691,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_06028,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_07259,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_08564,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_08723,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_09014,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_10177,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_10229,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_10416,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_10530,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_10753,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_11877,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_12014,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_12565,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_13327,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_13567,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_13998,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_14462,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_14745,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_15238,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_15630,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_15915,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_16192,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_16360,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_17174,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_17499,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_17661,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_17812,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_18356,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_18975,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_19145,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_19170,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_19319,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
OUT_19330,0.0,0.0,0.0,0.0,False,Invalid or missing Sri Lanka coordinate
